,Season,Team,Win,Draw,Loss,GF,GA,Points,GD
94,2018/2019,Newcastle,12,9,17,42.0,48.0,45,-6.0
83,2018/2019,Burnley,11,7,20,45.0,68.0,40,-23.0
95,2018/2019,Southampton,9,12,17,45.0,65.0,39,-20.0
82,2018/2019,Brighton,9,9,20,35.0,60.0,36,-25.0
84,2018/2019,Cardiff,10,4,24,34.0,69.0,34,-35.0
88,2018/2019,Fulham,7,5,26,34.0,81.0,26,-47.0
89,2018/2019,Huddersfield,3,7,28,22.0,76.0,16,-54.0
109,2019/2020,Liverpool,27,1,1,66.0,21.0,82,45.0
110,2019/2020,Man City,18,3,7,68.0,31.0,57,37.0
108,2019/2020,Leicester,16,5,8,58.0,28.0,53,30.0
105,2019/2020,Chelsea,14,6,9,51.0,39.0,48,12.0
111,2019/2020,Man United,12,9,8,44.0,30.0,45,14.0
114,2019/2020,Sheffield United,11,10,7,30.0,25.0,43,5.0
119,2019/2020,Wolves,10,13,6,41.0,34.0,43,7.0
116,2019/2020,Tottenham,11,8,10,47.0,40.0,41,7.0
100,2019/2020,Arsenal,9,13,6,40.0,36.0,40,4.0
104,2019/2020,Burnley,11,6,12,34.0,40.0,39,-6.0
106,2019/2020,Crystal Palace,10,9,10,26.0,32.0,39,-6.0
107,2019/2020,Everton,10,7,12,37.0,46.0,37,-9.0
112,2019/2020,Newcastle,9,8,12,25.0,41.0,35,-16.0
115,2019/2020,Southampton,10,4,15,35.0,52.0,34,-17.0
103,2019/2020,Brighton,6,11,12,32.0,40.0,29,-8.0
102,2019/2020,Bournemouth,7,6,16,29.0,47.0,27,-18.0
117,2019/2020,Watford,6,9,14,27.0,44.0,27,-17.0
118,2019/2020,West Ham,7,6,16,35.0,50.0,27,-15.0
101,2019/2020,Aston Villa,7,4,17,34.0,56.0,25,-22.0
113,2019/2020,Norwich,5,6,18,25.0,52.0,21,-27.0
132,2020/2021,Man City,35,5,8,117.0,36.0,110,81.0
133,2020/2021,Man United,27,14,6,95.0,50.0,95,45.0
131,2020/2021,Liverpool,25,11,11,87.0,54.0,86,33.0
125,2020/2021,Chelsea,25,10,12,76.0,51.0,85,25.0
138,2020/2021,Tottenham,23,11,13,82.0,52.0,80,30.0
120,2020/2021,Arsenal,23,8,17,71.0,51.0,77,20.0
141,2020/2021,West Ham,22,11,14,76.0,59.0,77,17.0
130,2020/2021,Leicester,22,9,16,77.0,63.0,75,14.0
127,2020/2021,Everton,20,11,16,54.0,58.0,71,-4.0
121,2020/2021,Aston Villa,18,11,19,62.0,57.0,65,5.0
137,2020/2021,Southampton,17,10,20,63.0,76.0,61,-13.0
142,2020/2021,Wolves,17,10,20,46.0,58.0,61,-12.0
129,2020/2021,Leeds,18,5,15,62.0,54.0,59,8.0
124,2020/2021,Burnley,14,12,21,42.0,65.0,54,-23.0
134,2020/2021,Newcastle,14,12,21,59.0,79.0,54,-20.0
123,2020/2021,Brighton,12,17,18,47.0,60.0,53,-13.0
126,2020/2021,Crystal Palace,13,9,25,46.0,84.0,48,-38.0
136,2020/2021,Sheffield United,10,4,34,29.0,77.0,34,-48.0
128,2020/2021,Fulham,5,13,20,27.0,53.0,28,-26.0
140,2020/2021,West Brom,5,11,22,35.0,76.0,26,-41.0
122,2020/2021,Bournemouth,2,1,6,11.0,18.0,7,-7.0
139,2020/2021,Watford,2,1,6,9.0,20.0,7,-11.0
135,2020/2021,Norwich,0,0,9,1.0,23.0,0,-22.0
154,2021/2022,Man City,29,6,3,99.0,26.0,93,73.0
